,cyclone_name,cyclone_id,sar_time,file,match_type,analysis_center_quality_flag,analysis_vmax,analysis_rmax,vmax,sar_aeqd_path,sargeo_path,nan_ratio_within_100km,split
0,TALIAH,sh142025,2025-02-17 13:40:01,rcm1-sclnd-owi-cm-20250217t134001-20250217t134117-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,3.0,20.414132306287613,88000.0,19,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm1-sclnd-owi-cm-20250217t134001-20250217t134117-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm1-sclnd-owi-cm-20250217t134001-20250217t134117-00003-xxxxx_ll_gd_GEO-IRWIN.nc,,nan
1,TALIAH,sh142025,2025-02-02 21:47:25,rcm2-sclnc-owi-cm-20250202t214725-20250202t214840-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.0,41.00188148147798,29000.0,36,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm2-sclnc-owi-cm-20250202t214725-20250202t214840-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm2-sclnc-owi-cm-20250202t214725-20250202t214840-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train
2,TALIAH,sh142025,2025-02-14 12:45:45,rcm2-sclna-owi-cm-20250214t124545-20250214t124701-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,1.75,20.36140148467393,158000.0,21,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm2-sclna-owi-cm-20250214t124545-20250214t124701-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm2-sclna-owi-cm-20250214t124545-20250214t124701-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.4462715105162524,train
3,TALIAH,sh142025,2025-02-04 10:55:38,rcm3-sclna-owi-cm-20250204t105538-20250204t105652-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.7,39.48039259259243,45000.0,44,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm3-sclna-owi-cm-20250204t105538-20250204t105652-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm3-sclna-owi-cm-20250204t105538-20250204t105652-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.1792224346717654,val
4,TALIAH,sh142025,2025-02-10 12:16:08,rcm2-sclnb-owi-cm-20250210t121608-20250210t121722-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.0,24.64941947929802,66000.0,23,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm2-sclnb-owi-cm-20250210t121608-20250210t121722-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm2-sclnb-owi-cm-20250210t121608-20250210t121722-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train
5,TALIAH,sh142025,2025-02-06 11:43:38,rcm2-sclnd-owi-cm-20250206t114338-20250206t114453-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.3,22.62235135484788,126000.0,31,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm2-sclnd-owi-cm-20250206t114338-20250206t114453-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm2-sclnd-owi-cm-20250206t114338-20250206t114453-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train
6,TALIAH,sh142025,2025-02-08 11:59:42,rcm2-sclna-owi-cm-20250208t115942-20250208t120059-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.6,15.875702658883478,173000.0,23,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm2-sclna-owi-cm-20250208t115942-20250208t120059-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm2-sclna-owi-cm-20250208t115942-20250208t120059-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,test
7,TALIAH,sh142025,2025-02-16 00:07:10,rcm1-sclna-owi-cm-20250216t000710-20250216t000825-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,1.7999999999999998,23.53298830029534,125000.0,26,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm1-sclna-owi-cm-20250216t000710-20250216t000825-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm1-sclna-owi-cm-20250216t000710-20250216t000825-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.1827915869980879,train
8,TALIAH,sh142025,2025-02-04 11:12:21,s1a-ew-owi-cm-20250204t111221-20250204t111324-000003-071E7C_ll_gd_GEO-IRWIN.nc,exact_contains,3.05,35.03180119047619,53000.0,44,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/s1a-ew-owi-cm-20250204t111221-20250204t111324-000003-_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/s1a-ew-owi-cm-20250204t111221-20250204t111324-000003-071E7C_ll_gd_GEO-IRWIN.nc,0.7004461440407903,nan
9,TALIAH,sh142025,2025-02-18 13:47:45,rcm1-sclnd-owi-cm-20250218t134745-20250218t134859-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,3.9,,,21,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm1-sclnd-owi-cm-20250218t134745-20250218t134859-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm1-sclnd-owi-cm-20250218t134745-20250218t134859-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.2476736775015933,nan
10,TALIAH,sh142025,2025-02-14 23:58:40,rcm1-sclna-owi-cm-20250214t235840-20250214t235955-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.5,26.98380666583946,259000.0,26,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm1-sclna-owi-cm-20250214t235840-20250214t235955-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm1-sclna-owi-cm-20250214t235840-20250214t235955-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,nan
11,TALIAH,sh142025,2025-02-08 23:08:14,rcm1-sclnd-owi-cm-20250208t230814-20250208t230932-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.3,20.41912915099216,118000.0,21,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm1-sclnd-owi-cm-20250208t230814-20250208t230932-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm1-sclnd-owi-cm-20250208t230814-20250208t230932-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train
12,TALIAH,sh142025,2025-02-18 00:24:20,rcm1-sclna-owi-cm-20250218t002420-20250218t002534-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,3.8,25.905007707705305,113000.0,21,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm1-sclna-owi-cm-20250218t002420-20250218t002534-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm1-sclna-owi-cm-20250218t002420-20250218t002534-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.1552581261950286,train
13,TALIAH,sh142025,2025-02-09 12:07:59,rcm2-sclna-owi-cm-20250209t120759-20250209t120913-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.3,16.40140192689365,139000.0,20,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm2-sclna-owi-cm-20250209t120759-20250209t120913-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm2-sclna-owi-cm-20250209t120759-20250209t120913-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train
14,TALIAH,sh142025,2025-02-02 10:39:47,rcm3-sclnc-owi-cm-20250202t103947-20250202t104104-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.0,30.90239245687646,33000.0,32,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm3-sclnc-owi-cm-20250202t103947-20250202t104104-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm3-sclnc-owi-cm-20250202t103947-20250202t104104-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train
15,TALIAH,sh142025,2025-02-07 23:00:15,rcm1-sclnd-owi-cm-20250207t230015-20250207t230132-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.0,20.82546920704731,89000.0,26,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm1-sclnd-owi-cm-20250207t230015-20250207t230132-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm1-sclnd-owi-cm-20250207t230015-20250207t230132-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,val
