cyclone,canal,fichier,sar_path,lat_centre,lon_centre,eye_center_lat,eye_center_lon,d_lat,d_lon,distance_km,distance_km_normalized,sar_acquisition_time,sar_xy,sar_inter
al102019,IRWIN,s1a-iw-owi-cm-20190920t221952-20190920t222132-000003-034DF5_ll_gd_GEO-IRWIN.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/sentinel-1a/L2M/IW/S1A_IW_GRDH_1S/2019/263/S1A_IW_GRDH_1SDV_20190920T221837_20190920T222132_029111_034DF5_52D2X553CX854EX8846XAA90XE344XFCC5/s1a-iw-owi-cm-20190920t221837-20190920t222132-000003-034DF5.nc,19.853086471557617,297.8992004394531,19.994840299390933,297.96570088496514,0.14175382783331614,0.06650044551201972,17.380082456308294,0.029201377136445397,"2019-09-20T22:19:52,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd_v1/al102019/s1a-iw-owi-cm-20190920t221837-20190920t222132-000003-034DF5_aeqd.nc,s1a-iw-owi-cm-20190920t221837-20190920t222132-000003-034DF5.nc
al012024,IRWIN,rcm1-sclnd-owi-cm-20240620t004603-20240620t004719-00003-______ll_gd_GEO-IRWIN.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-1/L2M/sclnd/rcm-1_sclnd/2024/172/RCM1_OK3122910_PK3127940_1_SCLND_20240620_004605_VV_VH_GRD/rcm1-sclnd-owi-cm-20240620t004603-20240620t004719-00003-xxxxx.nc,21.51799201965332,264.37469482421875,21.51799201965332,264.37469482421875,0.0,0.0,0.0,0.0,"2024-06-20T00:46:03,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd_v1/al012024/rcm1-sclnd-owi-cm-20240620t004603-20240620t004719-00003-xxxxx_aeqd.nc,rcm1-sclnd-owi-cm-20240620t004603-20240620t004719-00003-xxxxx.nc
ep192022,IRWIN,s1a-iw-owi-cm-20221022t130700-20221022t130753-000003-057241_ll_gd_GEO-IRWIN.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/sentinel-1a/L2M/IW/S1A_IW_GRDH_1S/2022/295/S1A_IW_GRDH_1SDV_20221022T130610_20221022T130753_045555_057241_212FX7B41XA9AEXE506/s1a-iw-owi-cm-20221022t130610-20221022t130753-000003-057241.nc,17.764738082885742,253.7095489501953,17.764738082885742,253.7095489501953,0.0,0.0,0.0,0.0,"2022-10-22T13:07:00,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd_v1/ep192022/s1a-iw-owi-cm-20221022t130610-20221022t130753-000003-057241_aeqd.nc,s1a-iw-owi-cm-20221022t130610-20221022t130753-000003-057241.nc
ep192022,IRWIN,rcm2-sclnd-owi-cm-20221022t124742-20221022t124922-00003-______ll_gd_GEO-IRWIN.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sclnd/rcm-2_sclnd/2022/295/RCM2_OK2378142_PK2381310_1_SCLND_20221022_124753_VV_VH_GRD/rcm2-sclnd-owi-cm-20221022t124742-20221022t124922-00003-xxxxx.nc,17.7193546295166,253.7339630126953,17.807121216905152,253.59026273605178,0.08776658738855048,-0.14370027664352847,18.690482900466648,0.03140306390437812,"2022-10-22T12:47:42,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd_v1/ep192022/rcm2-sclnd-owi-cm-20221022t124742-20221022t124922-00003-xxxxx_aeqd.nc,rcm2-sclnd-owi-cm-20221022t124742-20221022t124922-00003-xxxxx.nc
ep122021,IRWIN,rcm2-sc100ma-owi-cm-20210818t143906-20210818t144138-00003-______ll_gd_GEO-IRWIN.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sc100ma/rcm-2_sc100ma/2021/230/RCM2_OK2378048_PK2383884_1_SC100MA_20210818_143919_VV_VH_GRD/rcm2-sc100ma-owi-cm-20210818t143906-20210818t144138-00003-xxxxx.nc,18.25746154785156,228.1685943603516,18.15740435095076,228.17541726818288,-0.10005719690079928,0.0068229078312924685,11.132140539046961,0.018703814267499848,"2021-08-18T14:39:06,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd_v1/ep122021/rcm2-sc100ma-owi-cm-20210818t143906-20210818t144138-00003-xxxxx_aeqd.nc,rcm2-sc100ma-owi-cm-20210818t143906-20210818t144138-00003-xxxxx.nc
ep122021,IRWIN,s1a-iw-owi-cm-20210823t161535-20210823t161654-000003-04A612_ll_gd_GEO-IRWIN.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/sentinel-1a/L2M/IW/S1A_IW_GRDH_1S/2021/235/S1A_IW_GRDH_1SDV_20210823T161535_20210823T161654_039359_04A612_50E8X7696X9156/s1a-iw-owi-cm-20210823t161535-20210823t161654-000003-04A612.nc,21.15735626220703,204.02297973632807,20.58861668023403,203.88475860455074,-0.5687395819730021,-0.1382211317773283,64.96770293110403,0.10915635180379293,"2021-08-23T16:15:35,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd_v1/ep122021/s1a-iw-owi-cm-20210823t161535-20210823t161654-000003-04A612_aeqd.nc,s1a-iw-owi-cm-20210823t161535-20210823t161654-000003-04A612.nc
ep042021,IRWIN,s1a-iw-owi-cm-20210619t125029-20210619t125121-000003-04884E_ll_gd_GEO-IRWIN.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/sentinel-1a/L2M/IW/S1A_IW_GRDH_1S/2021/170/S1A_IW_GRDH_1SDV_20210619T125029_20210619T125121_038409_04884E_85A5XDA36/s1a-iw-owi-cm-20210619t125029-20210619t125121-000003-04884E.nc,18.10356903076172,256.4402160644531,18.10356903076172,256.4402160644531,0.0,0.0,0.0,0.0,"2021-06-19T12:50:29,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd_v1/ep042021/s1a-iw-owi-cm-20210619t125029-20210619t125121-000003-04884E_aeqd.nc,s1a-iw-owi-cm-20210619t125029-20210619t125121-000003-04884E.nc
io032024,IRWIN,rcm2-sclna-owi-cm-20241025t001048-20241025t001205-00003-______ll_gd_GEO-IRWIN.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sclna/rcm-2_sclna/2024/299/RCM2_OK3329262_PK3331883_1_SCLNA_20241025_001049_VV_VH_GRD/rcm2-sclna-owi-cm-20241025t001048-20241025t001205-00003-xxxxx.nc,20.90899658203125,86.89592742919922,21.34463549215813,87.60879760300399,0.4356389101268796,0.7128701738047738,92.73418219867989,0.15580857194613632,"2024-10-25T00:10:48,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd_v1/io032024no_env/rcm2-sclna-owi-cm-20241025t001048-20241025t001205-00003-xxxxx_aeqd.nc,rcm2-sclna-owi-cm-20241025t001048-20241025t001205-00003-xxxxx.nc
io032024,IRWIN,rcm2-sclnd-owi-cm-20241025t122536-20241025t122653-00003-______ll_gd_GEO-IRWIN.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sclnd/rcm-2_sclnd/2024/299/RCM2_OK3329741_PK3332509_1_SCLND_20241025_122537_VV_VH_GRD/rcm2-sclnd-owi-cm-20241025t122536-20241025t122653-00003-xxxxx.nc,21.192880630493164,86.38916015625,20.853539837373653,86.91107337754264,-0.3393407931195114,0.5219132212926354,69.1010068365437,0.11610097743866601,"2024-10-25T12:25:36,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd_v1/io032024no_env/rcm2-sclnd-owi-cm-20241025t122536-20241025t122653-00003-xxxxx_aeqd.nc,rcm2-sclnd-owi-cm-20241025t122536-20241025t122653-00003-xxxxx.nc
io032024,IRWIN,rcm2-sclnc-owi-cm-20241024t121720-20241024t121835-00003-______ll_gd_GEO-IRWIN.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sclnc/rcm-2_sclnc/2024/298/RCM2_OK3329250_PK3330902_1_SCLNC_20241024_121721_VV_VH_GRD/rcm2-sclnc-owi-cm-20241024t121720-20241024t121835-00003-xxxxx.nc,19.83429908752441,87.48273468017578,19.808712317153407,87.38297838113272,-0.025586770371003098,-0.09975629904306516,11.431384467720589,0.019206592941821872,"2024-10-24T12:17:20,000",/scale/user/mtannaou/alternance/donnees_sar_aeqd_v1/io032024no_env/rcm2-sclnc-owi-cm-20241024t121720-20241024t121835-00003-xxxxx_aeqd.nc,rcm2-sclnc-owi-cm-20241024t121720-20241024t121835-00003-xxxxx.nc
